Filename,mIoU_Animals_Only
o_1035747_17_semantic.png,0.4055
o_1035260_17_semantic.png,0.7425
o_1035289_17_semantic.png,0.6628
o_1034574_12_semantic.png,0.1644
o_1034771_12_semantic.png,0.0042
o_1035246_7_semantic.png,0.0000
o_1036240_0_semantic.png,0.3478
o_1035065_17_semantic.png,0.0007
o_1035542_17_semantic.png,0.0026
o_1034798_12_semantic.png,0.0000
o_1035258_7_semantic.png,0.7544
o_1034505_0_semantic.png,0.0006
o_1036100_17_semantic.png,0.0000
o_1035274_20_semantic.png,0.0071
o_1035753_20_semantic.png,0.0648
o_1035363_12_semantic.png,0.0028
o_1035556_20_semantic.png,0.0000
o_1035071_20_semantic.png,0.0045
o_1035441_12_semantic.png,0.4369
o_1034574_7_semantic.png,0.8726
o_1035166_12_semantic.png,0.0000
o_1035098_20_semantic.png,0.5454
o_1036305_17_semantic.png,0.1544
o_1035553_7_semantic.png,0.0039
o_1034913_7_semantic.png,0.0000
o_1035619_7_semantic.png,0.0000
o_1036228_17_semantic.png,0.0825
o_1035889_7_semantic.png,0.8097
o_1034783_7_semantic.png,0.0000
o_1035585_12_semantic.png,0.4142
o_1034651_0_semantic.png,0.0000
o_1035780_12_semantic.png,0.2643
o_1034962_0_semantic.png,0.1127
o_1035697_20_semantic.png,0.0064
o_1035676_0_semantic.png,0.0000
o_1035769_12_semantic.png,0.0372
o_1035945_0_semantic.png,0.0902
o_1035917_20_semantic.png,0.0087
o_1035359_20_semantic.png,0.0000
o_1035800_12_semantic.png,0.0229
o_1035163_20_semantic.png,0.0000
o_1035444_20_semantic.png,0.0000
o_1035074_12_semantic.png,0.0000
o_1033911_0_semantic.png,0.0000
o_1035553_12_semantic.png,0.1274
o_1034809_17_semantic.png,0.5059
o_1034760_17_semantic.png,0.7584
o_1035425_0_semantic.png,0.0000
o_1034565_17_semantic.png,0.0000
o_1035366_20_semantic.png,0.0000
o_1035928_20_semantic.png,0.2598
o_1035586_0_semantic.png,0.6478
o_1035271_12_semantic.png,0.8412
o_1035842_0_semantic.png,0.1848
o_1035692_12_semantic.png,0.6913
o_1035785_20_semantic.png,0.0762
o_1035805_20_semantic.png,0.0243
o_1034865_0_semantic.png,0.0000
o_1034756_0_semantic.png,0.2289
o_1035912_12_semantic.png,0.8333
o_1034739_7_semantic.png,0.0000
o_1035159_12_semantic.png,0.0000
o_1034684_7_semantic.png,0.2848
o_1035700_7_semantic.png,0.0000
o_1035569_20_semantic.png,0.8324
o_1034814_7_semantic.png,0.0000
o_1034727_7_semantic.png,0.0573
o_1035580_20_semantic.png,0.8477
o_1035811_17_semantic.png,0.0202
o_1035791_17_semantic.png,0.3057
o_1034827_12_semantic.png,0.1698
o_1035594_17_semantic.png,0.2138
o_1036013_0_semantic.png,0.0000
o_1035015_7_semantic.png,0.0000
o_1036314_12_semantic.png,0.0257
o_1034663_12_semantic.png,0.0000
o_1034774_20_semantic.png,0.5619
o_1035450_17_semantic.png,0.0000
o_1035177_17_semantic.png,0.8667
o_1035372_17_semantic.png,0.0010
o_1035655_17_semantic.png,0.2641
o_1035293_0_semantic.png,0.0000
o_1034598_20_semantic.png,0.0377
o_1034466_12_semantic.png,0.0000
o_1036111_12_semantic.png,0.8350
o_1034571_20_semantic.png,0.8357
o_1035330_0_semantic.png,0.0000
o_1034905_17_semantic.png,0.8752
o_1035086_20_semantic.png,0.7134
o_1035548_20_semantic.png,0.1103
o_1035178_12_semantic.png,0.0000
o_1034685_17_semantic.png,0.0000
o_1034494_7_semantic.png,0.8765
o_1035933_12_semantic.png,0.0684
o_1035283_20_semantic.png,0.5661
o_1035561_0_semantic.png,0.0000
o_1035777_12_semantic.png,0.0376
o_1034612_0_semantic.png,0.0001
o_1035796_0_semantic.png,0.0000
o_1035250_12_semantic.png,0.3860
o_1035660_20_semantic.png,0.0000
o_1036033_17_semantic.png,0.0144
o_1035788_0_semantic.png,0.2131
o_1035906_0_semantic.png,0.0132
o_1034544_17_semantic.png,0.8907
o_1035689_20_semantic.png,0.0000
o_1034663_7_semantic.png,0.0000
o_1035969_7_semantic.png,0.1716
